"Scientific_name","Isolation_type","Location","Isolation_source","Host","Collection_date","Isolate","Strand","Element_symbol","Type","Method","Genus","Species"
"Klebsiella pneumoniae","clinical","Turkey","blood","human",2014,"PDT000370684.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2014,"PDT001092067.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2014,"PDT001092067.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","hospital","human",2014,"PDT000411387.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","lower respiratory tract","human",2014,"PDT000370421.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","lower respiratory tract","human",2014,"PDT000370448.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","lower respiratory tract","human",2014,"PDT000370449.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","lower respiratory tract","human",2014,"PDT000370450.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Turkey","lower respiratory tract","human",2014,"PDT000370639.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2014,"PDT000369813.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2014,"PDT000369819.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","urine","human",2014,"PDT000370228.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","urine","human",2014,"PDT000370233.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Romania","urine","human",2014,"PDT000370261.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370390.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370391.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370392.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370423.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370441.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370447.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370462.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000370466.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Turkey","urine","human",2014,"PDT000370717.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","urine","human",2014,"PDT000663180.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","wound","human",2014,"PDT000370397.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","wound","human",2014,"PDT000370411.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","wound","human",2014,"PDT000370437.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","wound","human",2014,"PDT000370458.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Canada","wound","human",2014,"PDT000631361.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Canada","wound","human",2014,"PDT000631361.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Canada","wound","human",2014,"PDT002412006.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Canada","wound","human",2014,"PDT002412006.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Enterobacter hormaechei","clinical","Colombia","unknown","unknown",2014,"PDT000061770.2","-","blaSCO-1","AMR","ALLELEP","Enterobacter","Enterobacter hormaechei"
"Klebsiella pneumoniae","clinical","Canada","unknown","human",2014,"PDT000445958.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Canada","unknown","human",2014,"PDT000445958.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Escherichia coli","unknown","USA","unknown","pig",2014,"PDT000729445.1","+","blaSCO-1","AMR","ALLELEX","Escherichia","Escherichia coli"
"Escherichia coli","unknown","USA","unknown","pig",2014,"PDT000968073.1","+","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Escherichia coli","unknown","USA","unknown","pig",2014,"PDT000968073.1","+","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Klebsiella pneumoniae","environmental","Switzerland","unknown","unknown",2014,"PDT001137010.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244425.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244425.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244532.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244532.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244619.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244619.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244793.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244793.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244864.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2014,"PDT001244864.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","blood","human",2015,"PDT000217831.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609753.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609753.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609754.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609754.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609755.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609755.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609756.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Nigeria","feces","chicken",2015,"PDT002609756.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849187.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849187.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849188.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849188.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849197.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849197.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849199.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849199.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849228.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849228.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849229.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","gut","human",2015,"PDT000849229.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Pseudomonas aeruginosa","clinical","Cote d'Ivoire","hospital","human",2015,"PDT000395991.1","-","blaSCO-1","AMR","ALLELEP","Pseudomonas","Pseudomonas aeruginosa"
"Pseudomonas aeruginosa","clinical","Cote d'Ivoire","hospital","human",2015,"PDT000395996.1","+","blaSCO-1","AMR","ALLELEP","Pseudomonas","Pseudomonas aeruginosa"
"Klebsiella pneumoniae","clinical","Spain","human","human",2015,"PDT000535641.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","urine","human",2015,"PDT000668969.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","unknown","France","unknown","dog",2015,"PDT000992728.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001243322.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001243322.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001244228.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001244228.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001244512.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001244512.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001245101.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","unknown","human",2015,"PDT001245101.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Korea","blood","human",2016,"PDT000730564.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Enterobacter hormaechei","clinical","Argentina","blood","human",2016,"PDT002389252.1","-","blaSCO-1","AMR","ALLELEX","Enterobacter","Enterobacter hormaechei"
"Salmonella 4,[5],12:i:-","environmental","USA","feces","pig",2016,"PDT000198361.2","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella 4,[5],12:i:-","environmental","USA","feces","pig",2016,"PDT000198361.2","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Klebsiella pneumoniae","clinical","Cameroon","hand","human",2016,"PDT000358776.2","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Cameroon","hand","human",2016,"PDT000384349.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Ireland","human","human",2016,"PDT000442224.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Ireland","human","human",2016,"PDT000442224.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Morganella morganii","clinical","USA","lung","human",2016,"PDT000686030.1","+","blaSCO-1","AMR","ALLELEP","Morganella","Morganella morganii"
"Klebsiella pneumoniae","unknown","Cameroon","nares","pig",2016,"PDT000288731.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","unknown","Cameroon","nares","pig",2016,"PDT000288732.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Malawi","pus","human",2016,"PDT001124942.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Uganda","pus","human",2016,"PDT001971249.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","rectal","human",2016,"PDT001961096.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","rectal","human",2016,"PDT001961096.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","USA","surveillance","human",2016,"PDT000852587.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Uganda","urine","human",2016,"PDT001971259.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Enterobacter hormaechei","clinical","Argentina","urine","human",2016,"PDT002389278.1","-","blaSCO-1","AMR","ALLELEX","Enterobacter","Enterobacter hormaechei"
"Klebsiella pneumoniae","clinical","South Korea","blood","human",2017,"PDT000730620.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197661.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197661.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197666.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197666.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197667.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197667.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197674.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197674.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197675.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197675.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197678.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197678.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197679.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197679.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197681.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197681.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197683.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197683.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197685.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197685.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197687.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197687.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197693.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2017,"PDT001197693.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","South Africa","irrigation water","unknown",2017,"PDT001225211.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","nasal","human",2017,"PDT001442801.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776309.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776309.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776329.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776329.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776331.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776331.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776333.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Gambia","pa","human",2017,"PDT001776333.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","rectal","human",2017,"PDT000468099.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Kenya","skin soft tissue","human",2017,"PDT001410798.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Brazil","urine","human",2017,"PDT001388504.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","South Africa","water","unknown",2017,"PDT001065610.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","USA","wound","human",2017,"PDT000903652.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella quasipneumoniae","clinical","Nigeria","wound","human",2017,"PDT001442786.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella pneumoniae","clinical","Kenya","wound","human",2017,"PDT002127276.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","unknown","France","unknown","dog",2017,"PDT001426530.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Morganella morganii","clinical","Germany","unknown","human",2017,"PDT002154578.1","-","blaSCO-1","AMR","ALLELEX","Morganella","Morganella morganii"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2018,"PDT001903089.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2018,"PDT001903089.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002133978.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002133978.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002134077.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002134077.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002134161.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002134161.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002690569.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002690614.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002690644.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","blood","human",2018,"PDT002690659.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Enterobacter hormaechei","clinical","Argentina","cerebrospinal fluid","human",2018,"PDT002389223.1","-","blaSCO-1","AMR","ALLELEX","Enterobacter","Enterobacter hormaechei"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2018,"PDT001197706.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","clinical material","human",2018,"PDT001197706.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental",NA,"environment","unknown",2018,"PDT001256957.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","agricultural","South Africa","fresh produce","unknown",2018,"PDT001065608.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","hospital","human",2018,"PDT001219141.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","hospital","human",2018,"PDT001219141.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","hospital","human",2018,"PDT001185218.2","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","hospital","human",2018,"PDT001185219.2","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","France","rectal","human",2018,"PDT000665243.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
